age,annual_income,employment_years,debt_to_income,credit_history_length,num_credit_accounts,num_delinquencies_2y,credit_utilization,num_hard_inquiries_6m,has_mortgage,has_auto_loan,education_level,default,income_per_account,income_to_debt_ratio,credit_maturity,delinquency_rate,inquiry_intensity,debt_stress_score,financial_stability,age_income_interaction,dti_utilization_interaction,income_tier,age_group
45,32627.25,0.3,0.485,4.3,3,0,0.3601,2,1,0,2,0,8156.8125,2.0617253808459015,12.899999999999999,0.0,0.37735849056603776,0.35053,4.63788012695654,467.68201904348115,0.17464849999999998,2,3
38,40810.73,21.3,0.188,0.3,7,1,0.1558,2,0,0,2,0,5101.34125,5.318455744496959,2.1,0.7692307692307692,1.5384615384615383,0.34074000000000004,8.105017445721614,403.4355431247378,0.029290399999999998,2,3
47,34254.44,8.0,0.2736,8.4,1,0,0.4137,1,1,0,2,0,17127.22,3.6545808141125833,8.4,0.0,0.10638297872340426,0.26091,7.012480198958402,490.7552311701497,0.11318832000000001,2,4
58,52378.47,10.2,0.2394,12.2,4,0,0.053,3,1,0,1,0,10475.694,4.176776348217987,48.8,0.0,0.2272727272727273,0.1356,8.039880999893418,630.243659979394,0.0126882,3,5
37,100539.62,5.9,0.2074,22.1,4,0,0.6403,1,1,0,4,0,20107.924,4.821369551971196,88.4,0.0,0.04329004329004329,0.29579,10.255495131178211,426.1777328453128,0.13279822,5,3
37,30864.89,1.0,0.141,0.1,1,0,0.5643,0,0,0,3,0,15432.445,7.0905692958086695,0.1,0.0,0.0,0.23979,4.221222090898766,382.48405787751443,0.07956629999999999,2,3
58,89365.71,0.2,0.2303,16.9,7,0,0.5479,0,0,0,4,0,11170.71375,4.341951427160359,118.29999999999998,0.0,0.0,0.27952,8.040151056134855,661.2292041860721,0.12618137000000001,5,5
49,30668.67,10.0,0.058,5.8,5,0,0.733,0,1,0,3,0,5111.445,17.231691960445104,29.0,0.0,0.0,0.24889999999999998,7.1593088492051145,506.22044537016853,0.042514,2,4
34,29478.71,2.5,0.2063,3.8,4,0,0.3981,1,0,0,2,0,5895.742,4.846512810365008,15.2,0.0,0.20833333333333334,0.22258,4.947437252723142,349.90955530862277,0.08212803,1,2
46,80110.06,1.5,0.2772,2.0,7,0,0.4529,1,0,1,3,0,10013.7575,3.607341162284412,14.0,0.0,0.3333333333333333,0.27447,4.9873507602783675,519.393783242683,0.12554388,4,4
34,85234.52,4.1,0.5904,13.5,4,0,0.3828,1,1,1,2,0,17046.904000000002,1.693733280068782,54.0,0.0,0.06896551724137931,0.41004,7.525952058203983,386.00789992978474,0.22600512,5,2
